term,definition,source_anchor,notes
rfc,"Request for Comments. Detailed proposals concerning an aspect of internet technology, many of which become internet standards.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: request for comments
rfid,"Radio frequency identification. Technology that uses electromagnetic fields to identify, track and share data between tags within objects or worn by people.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: radio frequency identification
risk,"Possible future outcomes that we can describe in terms of their chances of occurrence, and the impact they would have if realised.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: risk management
risk appetite,The level of risk that an organisation is prepared to take in pursuit of its objectives.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: risk; risk management
risk management,"The means of governing, communicating and making decisions about risk.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: risk; risk appetite; risk owner
risk owner,A person who is accountable for risk within an organisation.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: risk management
router,A device which sends data from one network to another based on the destination IP address.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: gateway; ip address
rpz,Response policy zone. A filtering mechanism that prevents users from visiting harmful internet sites. Also known as a DNS firewall.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: response policy zone; dns | see also: response policy zone; dns
salt,Random data that is added to the password hashing process to help protect against dictionary attacks.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: hashing
sanitisation,Techniques that ensure data stored on devices is removed so that it can no longer be recovered by unauthorised parties.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,
secure by default,"Technology in which security is embedded from its inception, and is frictionless for the user. Security is treated as a core fundamental rather than a follow-up activity.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,
secure design and development,Activities relating to the design and development of IT systems and software that are secure by default.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,
secure storage,Protecting digitally stored information using physical and electronic techniques.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,
security architecture,"The practice of designing the technology, people and processes within computer systems to achieve security goals.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,
security monitoring,"Active analysis by organisations of logging information to look for signs of attacks or unusual behaviour, to help detect events that could be considered an incident and to respond accordingly.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: protective monitoring; logging; soc; siem | see also: protective monitoring; logging; soc; siem
server,A software- or hardware-based device that accepts and responds to requests made over a network.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,
shadow it,Refers to the unknown assets that are used within an organisation for business purposes.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: grey it
